player_id,name,season,age,team_id,pos,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
mohamed-bamba-1,Mo Bamba,2020-21,22,ORL,C,46,725,19.3,.556,.392,.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.1,-0.1,0.0,https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html
wendell-carterjr-1,Wendell Carter Jr.,2020-21,21,TOT,C,54,1375,16.7,.566,.112,.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,-1.0,-0.5,-1.5,https://www.sports-reference.com/cbb/players/wendell-carterjr-1.html
collin-sexton-1,Collin Sexton,2020-21,22,CLE,SG,60,2115,18.0,.573,.239,.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,2.6,0.9,3.5,1.9,-1.9,0.0,https://www.sports-reference.com/cbb/players/collin-sexton-1.html
kevin-knox-1,Kevin Knox,2020-21,21,NYK,SF,42,464,9.1,.537,.622,.140,2.4,11.8,7.1,5.9,1.3,1.2,10.1,16.2,0.0,0.6,0.6,-1.5,-0.2,-1.7,https://www.sports-reference.com/cbb/players/kevin-knox-1.html
mikal-bridges-1,Mikal Bridges,2020-21,24,PHO,SF,72,2348,16.4,.667,.471,.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,2.2,0.8,3.0,https://www.sports-reference.com/cbb/players/mikal-bridges-1.html
shai-gilgeous-alexander-1,Shai Gilgeous-Alexander,2020-21,22,OKC,SG,35,1180,21.6,.623,.301,.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,3.8,0.0,3.8,https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html
miles-bridges-1,Miles Bridges,2020-21,22,CHO,PF,66,1932,14.7,.625,.466,.182,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.2,0.0,0.2,https://www.sports-reference.com/cbb/players/miles-bridges-1.html
jerome-robinson-2,Jerome Robinson,2020-21,23,WAS,SG,17,305,4.1,.400,.442,.211,1.4,11.8,6.6,10.2,1.8,1.6,15.5,16.7,-0.7,0.3,-0.4,-6.5,-1.1,-7.6,https://www.sports-reference.com/cbb/players/jerome-robinson-2.html
troy-brown-5,Troy Brown Jr.,2020-21,21,TOT,SF,34,524,8.5,.525,.486,.146,4.2,17.4,10.8,7.2,0.9,1.0,12.1,14.0,0.0,0.5,0.5,-3.3,-1.0,-4.3,https://www.sports-reference.com/cbb/players/troy-brown-5.html
donte-divincenzo-1,Donte DiVincenzo,2020-21,24,MIL,SG,66,1814,13.0,.542,.574,.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,1.5,2.1,3.6,-0.3,0.2,-0.1,https://www.sports-reference.com/cbb/players/donte-divincenzo-1.html
lonnie-walker-2,Lonnie Walker,2020-21,22,SAS,SG,60,1522,9.8,.523,.463,.115,1.0,10.1,5.4,9.6,0.9,0.8,9.2,20.1,-0.5,0.9,0.4,-2.2,-1.7,-3.8,https://www.sports-reference.com/cbb/players/lonnie-walker-2.html
kevin-huerter-1,Kevin Huerter,2020-21,22,ATL,SG,69,2126,12.2,.541,.528,.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,1.9,1.7,3.6,-0.7,0.1,-0.6,https://www.sports-reference.com/cbb/players/kevin-huerter-1.html
josh-okogie-1,Josh Okogie,2020-21,22,MIN,SG,59,1197,9.1,.524,.425,.425,5.5,8.7,7.1,7.0,2.1,2.0,12.5,12.1,0.5,0.8,1.3,-3.9,0.1,-3.7,https://www.sports-reference.com/cbb/players/josh-okogie-1.html
grayson-allen-1,Grayson Allen,2020-21,25,MEM,SG,50,1259,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,-0.4,-0.1,-0.5,https://www.sports-reference.com/cbb/players/grayson-allen-1.html
chandler-hutchison-1,Chandler Hutchison,2020-21,24,TOT,SF,25,346,6.8,.469,.214,.243,1.9,22.2,12.1,6.3,1.6,1.2,14.9,16.2,-0.5,0.4,-0.1,-5.9,-0.2,-6.1,https://www.sports-reference.com/cbb/players/chandler-hutchison-1.html
aaron-holiday-1,Aaron Holiday,2020-21,24,IND,PG,66,1176,9.2,.503,.417,.190,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,-3.2,-1.0,-4.1,https://www.sports-reference.com/cbb/players/aaron-holiday-1.html
moritz-wagner-1,Moritz Wagner,2020-21,23,TOT,C,45,722,12.5,.580,.397,.380,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,0.5,0.8,1.2,-2.7,0.0,-2.7,https://www.sports-reference.com/cbb/players/moritz-wagner-1.html
landry-shamet-1,Landry Shamet,2020-21,23,BRK,SG,61,1403,10.3,.578,.730,.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,-1.1,-1.5,-2.5,https://www.sports-reference.com/cbb/players/landry-shamet-1.html
robert-williams-3,Robert Williams,2020-21,23,BOS,C,52,985,25.7,.719,.008,.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15.0,3.4,1.9,5.3,3.0,3.1,6.1,https://www.sports-reference.com/cbb/players/robert-williams-3.html
jevon-carter-1,Jevon Carter,2020-21,25,PHO,PG,60,717,12.2,.548,.677,.031,2.6,11.8,7.3,13.0,2.0,1.1,6.6,15.0,0.7,0.8,1.6,-0.6,1.1,0.5,https://www.sports-reference.com/cbb/players/jevon-carter-1.html
