player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Quincy Acy,37,2012,Baylor,https://www.basketball-reference.com//players/a/acyqu01.html,200.7,240,https://www.sports-reference.com/cbb/players/quincy-acy-1.html,quincy-acy-1
Quincy Miller,38,2012,Baylor,https://www.basketball-reference.com//players/m/millequ01.html,205.7,210,https://www.sports-reference.com/cbb/players/quincy-miller-1.html,quincy-miller-1
Khris Middleton,39,2012,Texas A&M,https://www.basketball-reference.com//players/m/middlkh01.html,200.7,222,https://www.sports-reference.com/cbb/players/khris-middleton-1.html,khris-middleton-1
Will Barton,40,2012,Memphis,https://www.basketball-reference.com//players/b/bartowi01.html,198.1,181,https://www.sports-reference.com/cbb/players/will-barton-1.html,will-barton-1
Tyshawn Taylor,41,2012,Kansas,https://www.basketball-reference.com//players/t/tayloty01.html,190.5,185,https://www.sports-reference.com/cbb/players/tyshawn-taylor-1.html,tyshawn-taylor-1
Doron Lamb,42,2012,Kentucky,https://www.basketball-reference.com//players/l/lambdo01.html,193.0,210,https://www.sports-reference.com/cbb/players/doron-lamb-1.html,doron-lamb-1
Mike Scott,43,2012,Virginia,https://www.basketball-reference.com//players/s/scottmi01.html,200.7,237,https://www.sports-reference.com/cbb/players/mike-scott-4.html,mike-scott-4
Kim English,44,2012,Missouri,https://www.basketball-reference.com//players/e/engliki01.html,198.1,200,https://www.sports-reference.com/cbb/players/kim-english-1.html,kim-english-1
Justin Hamilton,45,2012,LSU,https://www.basketball-reference.com//players/h/hamilju01.html,213.4,260,https://www.sports-reference.com/cbb/players/justin-hamilton-2.html,justin-hamilton-2
Darius Miller,46,2012,Kentucky,https://www.basketball-reference.com//players/m/milleda01.html,198.1,225,https://www.sports-reference.com/cbb/players/darius-miller-1.html,darius-miller-1
Kevin Murphy,47,2012,Tennessee Technological University,https://www.basketball-reference.com//players/m/murphke01.html,195.6,185,https://www.sports-reference.com/cbb/players/kevin-murphy-1.html,kevin-murphy-1
Kostas Papanikolaou,48,2012,,https://www.basketball-reference.com//players/p/papanko01.html,203.2,225,,
Kyle O'Quinn,49,2012,Norfolk State,https://www.basketball-reference.com//players/o/oquinky01.html,205.7,250,https://www.sports-reference.com/cbb/players/kyle-oquinn-1.html,kyle-oquinn-1
İzzet Türkyılmaz,50,2012,,https://www.basketball-reference.com//players/t/turkyiz01.html,213.4,210,,
Kris Joseph,51,2012,Syracuse,https://www.basketball-reference.com//players/j/josepkr01.html,200.7,210,https://www.sports-reference.com/cbb/players/kris-joseph-1.html,kris-joseph-1
Ognjen Kuzmić,52,2012,,https://www.basketball-reference.com//players/k/kuzmiog01.html,215.9,251,,
Furkan Aldemir,53,2012,,https://www.basketball-reference.com//players/a/aldemfu01.html,208.3,240,,
Tornike Shengelia,54,2012,,https://www.basketball-reference.com//players/s/shengto01.html,205.7,217,,
Darius Johnson-Odom,55,2012,Marquette,https://www.basketball-reference.com//players/j/johnsda03.html,188.0,215,https://www.sports-reference.com/cbb/players/darius-johnson-odom-1.html,darius-johnson-odom-1
Tomislav Zubčić,56,2012,,https://www.basketball-reference.com//players/z/zubcito01.html,210.8,212,,
İlkan Karaman,57,2012,,https://www.basketball-reference.com//players/k/karamil01.html,205.7,254,,
Robbie Hummel,58,2012,Purdue,https://www.basketball-reference.com//players/h/hummero01.html,203.2,215,https://www.sports-reference.com/cbb/players/robbie-hummel-1.html,robbie-hummel-1
Marcus Denmon,59,2012,Missouri,https://www.basketball-reference.com//players/d/denmoma01.html,190.5,185,https://www.sports-reference.com/cbb/players/marcus-denmon-1.html,marcus-denmon-1
Robert Sacre,60,2012,Gonzaga,https://www.basketball-reference.com//players/s/sacrero01.html,213.4,270,https://www.sports-reference.com/cbb/players/robert-sacre-1.html,robert-sacre-1
Anthony Bennett,1,2013,UNLV,https://www.basketball-reference.com//players/b/bennean01.html,203.2,245,https://www.sports-reference.com/cbb/players/anthony-bennett-1.html,anthony-bennett-1
Victor Oladipo,2,2013,Indiana,https://www.basketball-reference.com//players/o/oladivi01.html,193.0,213,https://www.sports-reference.com/cbb/players/victor-oladipo-1.html,victor-oladipo-1
