player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Thanasis Antetokounmpo,51,2014,,https://www.basketball-reference.com//players/a/antetth01.html,198.1,219,,
Vasilije Micić,52,2014,,https://www.basketball-reference.com//players/m/micicva01.html,195.6,200,,
Alessandro Gentile,53,2014,,https://www.basketball-reference.com//players/g/gential01.html,200.7,230,,
Nemanja Dangubić,54,2014,,https://www.basketball-reference.com//players/d/dangune01.html,203.2,193,,
Semaj Christon,55,2014,Xavier,https://www.basketball-reference.com//players/c/chrisse01.html,190.5,190,https://www.sports-reference.com/cbb/players/semaj-christon-1.html,semaj-christon-1
Devyn Marble,56,2014,Iowa,https://www.basketball-reference.com//players/m/marblde01.html,198.1,200,https://www.sports-reference.com/cbb/players/roy-devyn-marble-1.html,roy-devyn-marble-1
Louis Labeyrie,57,2014,,https://www.basketball-reference.com//players/l/labeylo01.html,208.3,200,,
Jordan McRae,58,2014,Tennessee,https://www.basketball-reference.com//players/m/mcraejo01.html,195.6,179,https://www.sports-reference.com/cbb/players/jordan-mcrae-1.html,jordan-mcrae-1
Xavier Thames,59,2014,San Diego State,https://www.basketball-reference.com//players/t/thamexa01.html,190.5,195,https://www.sports-reference.com/cbb/players/xavier-thames-1.html,xavier-thames-1
Cory Jefferson,60,2014,Baylor,https://www.basketball-reference.com//players/j/jeffeco01.html,205.7,218,https://www.sports-reference.com/cbb/players/cory-jefferson-1.html,cory-jefferson-1
Karl-Anthony Towns,1,2015,Kentucky,https://www.basketball-reference.com//players/t/townska01.html,210.8,248,https://www.sports-reference.com/cbb/players/karl-anthony-towns-1.html,karl-anthony-towns-1
D'Angelo Russell,2,2015,Ohio State,https://www.basketball-reference.com//players/r/russeda01.html,193.0,193,https://www.sports-reference.com/cbb/players/dangelo-russell-1.html,dangelo-russell-1
Jahlil Okafor,3,2015,Duke,https://www.basketball-reference.com//players/o/okafoja01.html,208.3,270,https://www.sports-reference.com/cbb/players/jahlil-okafor-1.html,jahlil-okafor-1
Kristaps Porziņģis,4,2015,,https://www.basketball-reference.com//players/p/porzikr01.html,221.0,240,,
Mario Hezonja,5,2015,,https://www.basketball-reference.com//players/h/hezonma01.html,203.2,220,,
Willie Cauley-Stein,6,2015,Kentucky,https://www.basketball-reference.com//players/c/caulewi01.html,213.4,240,https://www.sports-reference.com/cbb/players/willie-cauley-stein-1.html,willie-cauley-stein-1
Emmanuel Mudiay,7,2015,,https://www.basketball-reference.com//players/m/mudiaem01.html,190.5,200,,
Stanley Johnson,8,2015,Arizona,https://www.basketball-reference.com//players/j/johnsst04.html,198.1,242,https://www.sports-reference.com/cbb/players/stanley-johnson-1.html,stanley-johnson-1
Frank Kaminsky,9,2015,Wisconsin,https://www.basketball-reference.com//players/k/kaminfr01.html,213.4,240,https://www.sports-reference.com/cbb/players/frank-kaminsky-1.html,frank-kaminsky-1
Justise Winslow,10,2015,Duke,https://www.basketball-reference.com//players/w/winslju01.html,198.1,222,https://www.sports-reference.com/cbb/players/justise-winslow-1.html,justise-winslow-1
Myles Turner,11,2015,Texas,https://www.basketball-reference.com//players/t/turnemy01.html,210.8,250,https://www.sports-reference.com/cbb/players/myles-turner-1.html,myles-turner-1
Trey Lyles,12,2015,Kentucky,https://www.basketball-reference.com//players/l/lylestr01.html,205.7,234,https://www.sports-reference.com/cbb/players/trey-lyles-1.html,trey-lyles-1
Devin Booker,13,2015,Kentucky,https://www.basketball-reference.com//players/b/bookede01.html,195.6,206,https://www.sports-reference.com/cbb/players/devin-booker-2.html,devin-booker-2
Cameron Payne,14,2015,Murray State,https://www.basketball-reference.com//players/p/payneca01.html,185.4,183,https://www.sports-reference.com/cbb/players/cameron-payne-1.html,cameron-payne-1
Kelly Oubre Jr.,15,2015,Kansas,https://www.basketball-reference.com//players/o/oubreke01.html,200.7,203,https://www.sports-reference.com/cbb/players/kelly-oubre-1.html,kelly-oubre-1
Terry Rozier,16,2015,Louisville,https://www.basketball-reference.com//players/r/roziete01.html,185.4,190,https://www.sports-reference.com/cbb/players/terry-rozier-1.html,terry-rozier-1
Rashad Vaughn,17,2015,UNLV,https://www.basketball-reference.com//players/v/vaughra01.html,198.1,202,https://www.sports-reference.com/cbb/players/rashad-vaughn-1.html,rashad-vaughn-1
Sam Dekker,18,2015,Wisconsin,https://www.basketball-reference.com//players/d/dekkesa01.html,205.7,230,https://www.sports-reference.com/cbb/players/sam-dekker-1.html,sam-dekker-1
Jerian Grant,19,2015,Notre Dame,https://www.basketball-reference.com//players/g/grantje02.html,193.0,205,https://www.sports-reference.com/cbb/players/jerian-grant-1.html,jerian-grant-1
Delon Wright,20,2015,Utah,https://www.basketball-reference.com//players/w/wrighde01.html,195.6,185,https://www.sports-reference.com/cbb/players/delon-wright-1.html,delon-wright-1
Justin Anderson,21,2015,Virginia,https://www.basketball-reference.com//players/a/anderju01.html,198.1,230,https://www.sports-reference.com/cbb/players/justin-anderson-1.html,justin-anderson-1
Bobby Portis,22,2015,Arkansas,https://www.basketball-reference.com//players/p/portibo01.html,208.3,250,https://www.sports-reference.com/cbb/players/bobby-portis-1.html,bobby-portis-1
Rondae Hollis-Jefferson,23,2015,Arizona,https://www.basketball-reference.com//players/h/holliro01.html,198.1,217,https://www.sports-reference.com/cbb/players/rondae-hollis-jefferson-1.html,rondae-hollis-jefferson-1
Tyus Jones,24,2015,Duke,https://www.basketball-reference.com//players/j/jonesty01.html,182.9,196,https://www.sports-reference.com/cbb/players/tyus-jones-1.html,tyus-jones-1
Jarell Martin,25,2015,LSU,https://www.basketball-reference.com//players/m/martija01.html,208.3,239,https://www.sports-reference.com/cbb/players/jarell-martin-1.html,jarell-martin-1
Nikola Milutinov,26,2015,,https://www.basketball-reference.com//players/m/milutni01.html,210.8,235,,
Larry Nance Jr.,27,2015,Wyoming,https://www.basketball-reference.com//players/n/nancela02.html,200.7,245,https://www.sports-reference.com/cbb/players/larry-nance-2.html,larry-nance-2
R.J. Hunter,28,2015,Georgia State University,https://www.basketball-reference.com//players/h/hunterj01.html,195.6,185,https://www.sports-reference.com/cbb/players/rj-hunter-1.html,rj-hunter-1
Chris McCullough,29,2015,Syracuse,https://www.basketball-reference.com//players/m/mcculch01.html,210.8,200,https://www.sports-reference.com/cbb/players/chris-mccullough-1.html,chris-mccullough-1
Kevon Looney,30,2015,UCLA,https://www.basketball-reference.com//players/l/looneke01.html,205.7,222,https://www.sports-reference.com/cbb/players/kevon-looney-1.html,kevon-looney-1
Cedi Osman,31,2015,,https://www.basketball-reference.com//players/o/osmande01.html,200.7,230,,
Montrezl Harrell,32,2015,Louisville,https://www.basketball-reference.com//players/h/harremo01.html,200.7,240,https://www.sports-reference.com/cbb/players/montrezl-harrell-1.html,montrezl-harrell-1
Jordan Mickey,33,2015,LSU,https://www.basketball-reference.com//players/m/mickejo01.html,203.2,235,https://www.sports-reference.com/cbb/players/jordan-mickey-1.html,jordan-mickey-1
Anthony Brown,34,2015,Stanford,https://www.basketball-reference.com//players/b/brownan02.html,200.7,210,https://www.sports-reference.com/cbb/players/anthony-brown-5.html,anthony-brown-5
Willy Hernangómez,35,2015,,https://www.basketball-reference.com//players/h/hernawi01.html,210.8,250,,
Rakeem Christmas,36,2015,Syracuse,https://www.basketball-reference.com//players/c/chrisra01.html,205.7,250,https://www.sports-reference.com/cbb/players/rakeem-christmas-1.html,rakeem-christmas-1
Richaun Holmes,37,2015,Bowling Green,https://www.basketball-reference.com//players/h/holmeri01.html,208.3,235,https://www.sports-reference.com/cbb/players/richaun-holmes-1.html,richaun-holmes-1
Darrun Hilliard,38,2015,Villanova,https://www.basketball-reference.com//players/h/hillida01.html,198.1,205,https://www.sports-reference.com/cbb/players/darrun-hilliard-1.html,darrun-hilliard-1
Juan Pablo Vaulet,39,2015,,https://www.basketball-reference.com//players/v/vauleju01.html,198.1,200,,
Josh Richardson,40,2015,Tennessee,https://www.basketball-reference.com//players/r/richajo01.html,195.6,200,https://www.sports-reference.com/cbb/players/josh-richardson-2.html,josh-richardson-2
Pat Connaughton,41,2015,Notre Dame,https://www.basketball-reference.com//players/c/connapa01.html,195.6,209,https://www.sports-reference.com/cbb/players/pat-connaughton-1.html,pat-connaughton-1
Olivier Hanlan,42,2015,Boston College,https://www.basketball-reference.com//players/h/hanlaol01.html,193.0,190,https://www.sports-reference.com/cbb/players/olivier-hanlan-1.html,olivier-hanlan-1
Joe Young,43,2015,Oregon,https://www.basketball-reference.com//players/y/youngjo01.html,188.0,180,https://www.sports-reference.com/cbb/players/joseph-young-1.html,joseph-young-1
Andrew Harrison,44,2015,Kentucky,https://www.basketball-reference.com//players/h/harrian01.html,198.1,213,https://www.sports-reference.com/cbb/players/andrew-harrison-1.html,andrew-harrison-1
Marcus Thornton,45,2015,William & Mary,https://www.basketball-reference.com//players/t/thornma02.html,193.0,190,https://www.sports-reference.com/cbb/players/marcus-thornton-3.html,marcus-thornton-3
Norman Powell,46,2015,UCLA,https://www.basketball-reference.com//players/p/powelno01.html,190.5,215,https://www.sports-reference.com/cbb/players/norman-powell-1.html,norman-powell-1
Artūras Gudaitis,47,2015,,https://www.basketball-reference.com//players/g/gudaiar01.html,208.3,254,,
Dakari Johnson,48,2015,Kentucky,https://www.basketball-reference.com//players/j/johnsda04.html,213.4,255,https://www.sports-reference.com/cbb/players/dakari-johnson-1.html,dakari-johnson-1
Aaron White,49,2015,Iowa,https://www.basketball-reference.com//players/w/whiteaa01.html,205.7,210,https://www.sports-reference.com/cbb/players/aaron-white-3.html,aaron-white-3
Marcus Eriksson,50,2015,,https://www.basketball-reference.com//players/e/eriksma01.html,200.7,178,,
Tyler Harvey,51,2015,Eastern Washington,https://www.basketball-reference.com//players/h/harvety01.html,193.0,185,https://www.sports-reference.com/cbb/players/tyler-harvey-1.html,tyler-harvey-1
Satnam Singh,52,2015,,https://www.basketball-reference.com//players/s/singhsa01.html,218.4,290,,
Sir'Dominic Pointer,53,2015,St. John's,https://www.basketball-reference.com//players/p/pointsi01.html,198.1,192,https://www.sports-reference.com/cbb/players/sirdominic-pointer-1.html,sirdominic-pointer-1
Dani Díez,54,2015,,https://www.basketball-reference.com//players/d/diezda01.html,200.7,212,,
Cady Lalanne,55,2015,UMass,https://www.basketball-reference.com//players/l/lalanca01.html,208.3,253,https://www.sports-reference.com/cbb/players/cady-lalanne-1.html,cady-lalanne-1
Branden Dawson,56,2015,Michigan State,https://www.basketball-reference.com//players/d/dawsobr01.html,198.1,225,https://www.sports-reference.com/cbb/players/branden-dawson-1.html,branden-dawson-1
Nikola Radičević,57,2015,,https://www.basketball-reference.com//players/r/radicni01.html,198.1,200,,
J.P. Tokoto,58,2015,UNC,https://www.basketball-reference.com//players/t/tokotjp01.html,198.1,200,https://www.sports-reference.com/cbb/players/jp-tokoto-1.html,jp-tokoto-1
Dimitrios Agravanis,59,2015,,https://www.basketball-reference.com//players/a/agravdi01.html,208.3,235,,
Luka Mitrović,60,2015,,https://www.basketball-reference.com//players/m/mitrolu01.html,205.7,230,,
Ben Simmons,1,2016,LSU,https://www.basketball-reference.com//players/s/simmobe01.html,210.8,240,https://www.sports-reference.com/cbb/players/ben-simmons-1.html,ben-simmons-1
Brandon Ingram,2,2016,Duke,https://www.basketball-reference.com//players/i/ingrabr01.html,203.2,190,https://www.sports-reference.com/cbb/players/brandon-ingram-1.html,brandon-ingram-1
Jaylen Brown,3,2016,California,https://www.basketball-reference.com//players/b/brownja02.html,198.1,223,https://www.sports-reference.com/cbb/players/jaylen-brown-1.html,jaylen-brown-1
Dragan Bender,4,2016,,https://www.basketball-reference.com//players/b/bendedr01.html,213.4,225,,
Kris Dunn,5,2016,Providence,https://www.basketball-reference.com//players/d/dunnkr01.html,190.5,205,https://www.sports-reference.com/cbb/players/kris-dunn-1.html,kris-dunn-1
Buddy Hield,6,2016,Oklahoma,https://www.basketball-reference.com//players/h/hieldbu01.html,193.0,220,https://www.sports-reference.com/cbb/players/buddy-hield-1.html,buddy-hield-1
Jamal Murray,7,2016,Kentucky,https://www.basketball-reference.com//players/m/murraja01.html,190.5,215,https://www.sports-reference.com/cbb/players/jamal-murray-1.html,jamal-murray-1
Marquese Chriss,8,2016,Washington,https://www.basketball-reference.com//players/c/chrisma01.html,205.7,240,https://www.sports-reference.com/cbb/players/marquese-chriss-1.html,marquese-chriss-1
Jakob Poeltl,9,2016,Utah,https://www.basketball-reference.com//players/p/poeltja01.html,215.9,245,https://www.sports-reference.com/cbb/players/jakob-poeltl-1.html,jakob-poeltl-1
Thon Maker,10,2016,,https://www.basketball-reference.com//players/m/makerth01.html,213.4,221,,
Domantas Sabonis,11,2016,Gonzaga,https://www.basketball-reference.com//players/s/sabondo01.html,210.8,240,https://www.sports-reference.com/cbb/players/domantas-sabonis-1.html,domantas-sabonis-1
Taurean Prince,12,2016,Baylor,https://www.basketball-reference.com//players/p/princta02.html,200.7,218,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,taurean-prince-1
Georgios Papagiannis,13,2016,,https://www.basketball-reference.com//players/p/papagge01.html,215.9,240,,
Denzel Valentine,14,2016,Michigan State,https://www.basketball-reference.com//players/v/valende01.html,193.0,220,https://www.sports-reference.com/cbb/players/denzel-valentine-1.html,denzel-valentine-1
Juan Hernangómez,15,2016,,https://www.basketball-reference.com//players/h/hernaju01.html,205.7,214,,
Guerschon Yabusele,16,2016,,https://www.basketball-reference.com//players/y/yabusgu01.html,203.2,260,,
Wade Baldwin,17,2016,Vanderbilt,https://www.basketball-reference.com//players/b/baldwwa01.html,193.0,200,https://www.sports-reference.com/cbb/players/wade-baldwin-1.html,wade-baldwin-1
Henry Ellenson,18,2016,Marquette,https://www.basketball-reference.com//players/e/ellenhe01.html,208.3,240,https://www.sports-reference.com/cbb/players/henry-ellenson-1.html,henry-ellenson-1
Malik Beasley,19,2016,Florida State,https://www.basketball-reference.com//players/b/beaslma01.html,193.0,187,https://www.sports-reference.com/cbb/players/malik-beasley-1.html,malik-beasley-1
Caris LeVert,20,2016,Michigan,https://www.basketball-reference.com//players/l/leverca01.html,198.1,205,https://www.sports-reference.com/cbb/players/caris-levert-1.html,caris-levert-1
DeAndre' Bembry,21,2016,Saint Joseph's,https://www.basketball-reference.com//players/b/bembrde01.html,195.6,210,https://www.sports-reference.com/cbb/players/deandre-bembry-1.html,deandre-bembry-1
Malachi Richardson,22,2016,Syracuse,https://www.basketball-reference.com//players/r/richama01.html,198.1,205,https://www.sports-reference.com/cbb/players/malachi-richardson-1.html,malachi-richardson-1
Ante Žižić,23,2016,,https://www.basketball-reference.com//players/z/zizican01.html,208.3,266,,
Timothé Luwawu-Cabarrot,24,2016,,https://www.basketball-reference.com//players/l/luwawti01.html,200.7,220,,
Brice Johnson,25,2016,UNC,https://www.basketball-reference.com//players/j/johnsbr02.html,208.3,230,https://www.sports-reference.com/cbb/players/brice-johnson-1.html,brice-johnson-1
Furkan Korkmaz,26,2016,,https://www.basketball-reference.com//players/k/korkmfu01.html,200.7,202,,
Pascal Siakam,27,2016,New Mexico State,https://www.basketball-reference.com//players/s/siakapa01.html,205.7,230,https://www.sports-reference.com/cbb/players/pascal-siakam-1.html,pascal-siakam-1
Skal Labissière,28,2016,Kentucky,https://www.basketball-reference.com//players/l/labissk01.html,208.3,235,https://www.sports-reference.com/cbb/players/skal-labissiere-1.html,skal-labissiere-1
Dejounte Murray,29,2016,Washington,https://www.basketball-reference.com//players/m/murrade01.html,193.0,180,https://www.sports-reference.com/cbb/players/dejounte-murray-1.html,dejounte-murray-1
Damian Jones,30,2016,Vanderbilt,https://www.basketball-reference.com//players/j/jonesda03.html,210.8,245,https://www.sports-reference.com/cbb/players/damian-jones-1.html,damian-jones-1
Deyonta Davis,31,2016,Michigan State,https://www.basketball-reference.com//players/d/davisde01.html,210.8,237,https://www.sports-reference.com/cbb/players/deyonta-davis-1.html,deyonta-davis-1
Ivica Zubac,32,2016,,https://www.basketball-reference.com//players/z/zubaciv01.html,213.4,240,,
Cheick Diallo,33,2016,Kansas,https://www.basketball-reference.com//players/d/diallch01.html,203.2,219,https://www.sports-reference.com/cbb/players/cheick-diallo-1.html,cheick-diallo-1
Tyler Ulis,34,2016,Kentucky,https://www.basketball-reference.com//players/u/ulisty01.html,177.8,160,https://www.sports-reference.com/cbb/players/tyler-ulis-1.html,tyler-ulis-1
Rade Zagorac,35,2016,,https://www.basketball-reference.com//players/z/zagorra01.html,205.7,202,,
Malcolm Brogdon,36,2016,Virginia,https://www.basketball-reference.com//players/b/brogdma01.html,195.6,229,https://www.sports-reference.com/cbb/players/malcolm-brogdon-1.html,malcolm-brogdon-1
Chinanu Onuaku,37,2016,Louisville,https://www.basketball-reference.com//players/o/onuakch01.html,208.3,245,https://www.sports-reference.com/cbb/players/chinanu-onuaku-1.html,chinanu-onuaku-1
Patrick McCaw,38,2016,UNLV,https://www.basketball-reference.com//players/m/mccawpa01.html,200.7,181,https://www.sports-reference.com/cbb/players/patrick-mccaw-1.html,patrick-mccaw-1
David Michineau,39,2016,,https://www.basketball-reference.com//players/m/michida01.html,193.0,180,,
Diamond Stone,40,2016,Maryland,https://www.basketball-reference.com//players/s/stonedi01.html,210.8,255,https://www.sports-reference.com/cbb/players/diamond-stone-1.html,diamond-stone-1
Stephen Zimmerman,41,2016,UNLV,https://www.basketball-reference.com//players/z/zimmest01.html,213.4,240,https://www.sports-reference.com/cbb/players/stephen-zimmermanjr-1.html,stephen-zimmermanjr-1
Isaiah Whitehead,42,2016,Seton Hall,https://www.basketball-reference.com//players/w/whiteis01.html,193.0,213,https://www.sports-reference.com/cbb/players/isaiah-whitehead-1.html,isaiah-whitehead-1
Zhou Qi,43,2016,,https://www.basketball-reference.com//players/q/qizh01.html,215.9,210,,
Isaïa Cordinier,44,2016,,https://www.basketball-reference.com//players/c/cordiis01.html,193.0,180,,
Demetrius Jackson,45,2016,Notre Dame,https://www.basketball-reference.com//players/j/jacksde01.html,185.4,201,https://www.sports-reference.com/cbb/players/demetrius-jackson-2.html,demetrius-jackson-2
A.J. Hammons,46,2016,Purdue,https://www.basketball-reference.com//players/h/hammoaj01.html,213.4,260,https://www.sports-reference.com/cbb/players/aj-hammons-1.html,aj-hammons-1
Jake Layman,47,2016,Maryland,https://www.basketball-reference.com//players/l/laymaja01.html,203.2,209,https://www.sports-reference.com/cbb/players/jake-layman-1.html,jake-layman-1
Paul Zipser,48,2016,,https://www.basketball-reference.com//players/z/zipsepa01.html,203.2,215,,
Michael Gbinije,49,2016,Syracuse,https://www.basketball-reference.com//players/g/gbinimi01.html,200.7,200,https://www.sports-reference.com/cbb/players/michael-gbinije-1.html,michael-gbinije-1
Georges Niang,50,2016,Iowa State,https://www.basketball-reference.com//players/n/niangge01.html,200.7,230,https://www.sports-reference.com/cbb/players/georges-niang-1.html,georges-niang-1
Ben Bentil,51,2016,Providence,https://www.basketball-reference.com//players/b/bentibe01.html,205.7,235,https://www.sports-reference.com/cbb/players/ben-bentil-1.html,ben-bentil-1
Joel Bolomboy,52,2016,Weber State,https://www.basketball-reference.com//players/b/bolomjo01.html,205.7,235,https://www.sports-reference.com/cbb/players/joel-bolomboy-1.html,joel-bolomboy-1
Petr Cornelie,53,2016,,https://www.basketball-reference.com//players/c/cornepe01.html,210.8,220,,
Kay Felder,54,2016,Oakland,https://www.basketball-reference.com//players/f/feldeka01.html,175.3,176,https://www.sports-reference.com/cbb/players/kahlil-felder-1.html,kahlil-felder-1
Marcus Paige,55,2016,UNC,https://www.basketball-reference.com//players/p/paigema01.html,185.4,175,https://www.sports-reference.com/cbb/players/marcus-paige-1.html,marcus-paige-1
Daniel Hamilton,56,2016,UConn,https://www.basketball-reference.com//players/h/hamilda02.html,200.7,195,https://www.sports-reference.com/cbb/players/daniel-hamilton-1.html,daniel-hamilton-1
Wang Zhelin,57,2016,,https://www.basketball-reference.com//players/s/sheliwa01.html,213.4,220,,
Abdel Nader,58,2016,Iowa State,https://www.basketball-reference.com//players/n/naderab01.html,195.6,225,https://www.sports-reference.com/cbb/players/abdel-nader-1.html,abdel-nader-1
Isaiah Cousins,59,2016,Oklahoma,https://www.basketball-reference.com//players/c/cousiis01.html,195.6,191,https://www.sports-reference.com/cbb/players/isaiah-cousins-1.html,isaiah-cousins-1
Tyrone Wallace,60,2016,California,https://www.basketball-reference.com//players/w/wallaty01.html,195.6,198,https://www.sports-reference.com/cbb/players/tyrone-wallace-1.html,tyrone-wallace-1
Markelle Fultz,1,2017,Washington,https://www.basketball-reference.com//players/f/fultzma01.html,190.5,209,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,markelle-fultz-1
Lonzo Ball,2,2017,UCLA,https://www.basketball-reference.com//players/b/balllo01.html,198.1,190,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,lonzo-ball-1
Jayson Tatum,3,2017,Duke,https://www.basketball-reference.com//players/t/tatumja01.html,203.2,210,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,jayson-tatum-1
Josh Jackson,4,2017,Kansas,https://www.basketball-reference.com//players/j/jacksjo02.html,203.2,207,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,josh-jackson-2
De'Aaron Fox,5,2017,Kentucky,https://www.basketball-reference.com//players/f/foxde01.html,190.5,185,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,deaaron-fox-1
Jonathan Isaac,6,2017,Florida State,https://www.basketball-reference.com//players/i/isaacjo01.html,210.8,230,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,jonathan-isaac-1
Lauri Markkanen,7,2017,Arizona,https://www.basketball-reference.com//players/m/markkla01.html,213.4,240,https://www.sports-reference.com/cbb/players/lauri-markkanen-1.html,lauri-markkanen-1
Frank Ntilikina,8,2017,,https://www.basketball-reference.com//players/n/ntilila01.html,193.0,200,,
Dennis Smith Jr.,9,2017,NC State,https://www.basketball-reference.com//players/s/smithde03.html,188.0,205,https://www.sports-reference.com/cbb/players/dennis-smithjr-1.html,dennis-smithjr-1
Zach Collins,10,2017,Gonzaga,https://www.basketball-reference.com//players/c/colliza01.html,210.8,250,https://www.sports-reference.com/cbb/players/zach-collins-1.html,zach-collins-1
Malik Monk,11,2017,Kentucky,https://www.basketball-reference.com//players/m/monkma01.html,190.5,200,https://www.sports-reference.com/cbb/players/malik-monk-1.html,malik-monk-1
Luke Kennard,12,2017,Duke,https://www.basketball-reference.com//players/k/kennalu01.html,195.6,206,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,luke-kennard-1
Donovan Mitchell,13,2017,Louisville,https://www.basketball-reference.com//players/m/mitchdo01.html,185.4,215,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,donovan-mitchell-1
Bam Adebayo,14,2017,Kentucky,https://www.basketball-reference.com//players/a/adebaba01.html,205.7,255,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,edrice-adebayo-1
Justin Jackson,15,2017,UNC,https://www.basketball-reference.com//players/j/jacksju01.html,203.2,220,https://www.sports-reference.com/cbb/players/justin-jackson-4.html,justin-jackson-4
Justin Patton,16,2017,Creighton,https://www.basketball-reference.com//players/p/pattoju01.html,210.8,241,https://www.sports-reference.com/cbb/players/justin-patton-1.html,justin-patton-1
D.J. Wilson,17,2017,Michigan,https://www.basketball-reference.com//players/w/wilsodj01.html,208.3,231,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,dj-wilson-1
T.J. Leaf,18,2017,UCLA,https://www.basketball-reference.com//players/l/leaftj01.html,208.3,222,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,tj-leaf-1
John Collins,19,2017,Wake Forest,https://www.basketball-reference.com//players/c/collijo01.html,205.7,235,https://www.sports-reference.com/cbb/players/john-collins-1.html,john-collins-1
Harry Giles,20,2017,Duke,https://www.basketball-reference.com//players/g/gilesha01.html,210.8,240,https://www.sports-reference.com/cbb/players/harry-giles-1.html,harry-giles-1
Terrance Ferguson,21,2017,,https://www.basketball-reference.com//players/f/fergute01.html,198.1,190,,
Jarrett Allen,22,2017,Texas,https://www.basketball-reference.com//players/a/allenja01.html,210.8,243,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,jarrett-allen-1
OG Anunoby,23,2017,Indiana,https://www.basketball-reference.com//players/a/anunoog01.html,200.7,232,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,og-anunoby-1
Tyler Lydon,24,2017,Syracuse,https://www.basketball-reference.com//players/l/lydonty01.html,208.3,225,https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,tyler-lydon-1
Anžejs Pasečņiks,25,2017,,https://www.basketball-reference.com//players/p/pasecan01.html,215.9,229,,
Caleb Swanigan,26,2017,Purdue,https://www.basketball-reference.com//players/s/swanica01.html,205.7,260,https://www.sports-reference.com/cbb/players/caleb-swanigan-1.html,caleb-swanigan-1
Kyle Kuzma,27,2017,Utah,https://www.basketball-reference.com//players/k/kuzmaky01.html,208.3,221,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,kyle-kuzma-1
Tony Bradley,28,2017,UNC,https://www.basketball-reference.com//players/b/bradlto01.html,208.3,248,https://www.sports-reference.com/cbb/players/tony-bradley-1.html,tony-bradley-1
Derrick White,29,2017,Colorado,https://www.basketball-reference.com//players/w/whitede01.html,193.0,190,https://www.sports-reference.com/cbb/players/derrick-white-1.html,derrick-white-1
Josh Hart,30,2017,Villanova,https://www.basketball-reference.com//players/h/hartjo01.html,195.6,215,https://www.sports-reference.com/cbb/players/josh-hart-1.html,josh-hart-1
Frank Jackson,31,2017,Duke,https://www.basketball-reference.com//players/j/jacksfr01.html,190.5,205,https://www.sports-reference.com/cbb/players/frank-jackson-2.html,frank-jackson-2
Davon Reed,32,2017,Miami (FL),https://www.basketball-reference.com//players/r/reedda01.html,195.6,208,https://www.sports-reference.com/cbb/players/davon-reed-1.html,davon-reed-1
Wesley Iwundu,33,2017,Kansas State,https://www.basketball-reference.com//players/i/iwundwe01.html,198.1,195,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,wesley-iwundu-1
Frank Mason III,34,2017,Kansas,https://www.basketball-reference.com//players/m/masonfr01.html,180.3,190,https://www.sports-reference.com/cbb/players/frank-mason-1.html,frank-mason-1
Ivan Rabb,35,2017,California,https://www.basketball-reference.com//players/r/rabbiv01.html,208.3,220,https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,ivan-rabb-1
Jonah Bolden,36,2017,,https://www.basketball-reference.com//players/b/boldejo01.html,203.2,220,https://www.sports-reference.com/cbb/players/jonah-bolden-1.html,jonah-bolden-1
Semi Ojeleye,37,2017,SMU,https://www.basketball-reference.com//players/o/ojelese01.html,198.1,240,https://www.sports-reference.com/cbb/players/semi-ojeleye-1.html,semi-ojeleye-1
Jordan Bell,38,2017,Oregon,https://www.basketball-reference.com//players/b/belljo01.html,203.2,216,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,jordan-bell-1
Jawun Evans,39,2017,Oklahoma State,https://www.basketball-reference.com//players/e/evansja01.html,182.9,185,https://www.sports-reference.com/cbb/players/jawun-evans-1.html,jawun-evans-1
Dwayne Bacon,40,2017,Florida State,https://www.basketball-reference.com//players/b/bacondw01.html,198.1,221,https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,dwayne-bacon-1
Tyler Dorsey,41,2017,Oregon,https://www.basketball-reference.com//players/d/dorsety01.html,195.6,183,https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html,tyler-dorsey-1
Thomas Bryant,42,2017,Indiana,https://www.basketball-reference.com//players/b/bryanth01.html,208.3,248,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,thomas-bryant-1
Isaiah Hartenstein,43,2017,,https://www.basketball-reference.com//players/h/harteis01.html,213.4,250,,
