position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
PG,6.05,203,248,1816,1854,2362,180.6,1905,peyton-siva-1
SF,9.1,203,222,1956,2007,2642,219.8,2083,deshaun-thomas-1
PF,5.05,222,267,2019,2051,2667,220.1,2127,aaron-gordon-1
PG,10.55,229,222,1880,1911,2515,227.2,2064,marcus-smart-1
PF,9.4,222,210,2026,2057,2680,249.7,2134,julius-randle-1
SG,12.05,216,216,1962,1994,2591,206.9,2026,nik-stauskas-1
PF,7.3,248,298,2032,2070,2743,247.1,2242,noah-vonleh-1
PG,5.65,222,229,1892,1924,2502,185.4,2032,elfrid-payton-1
SF,7.1,222,248,1988,2026,2616,218.0,2064,doug-mcdermott-1
PG,4.7,210,222,1943,1975,2540,180.9,2038,zach-lavine-1
SF,7.95,222,229,2007,2038,2642,220.2,2089,tj-warren-1
PF,7.55,235,241,2057,2076,2769,238.5,2235,adreian-payne-1
SG,5.1,229,241,1962,2000,2642,213.3,2134,james-young-1
PG,6.2,210,222,1854,1892,2489,181.5,2013,tyler-ennis-1
SG,4.55,216,241,1892,1943,2438,204.8,2000,gary-harris-1
SG,10.8,216,191,1918,1949,2591,208.8,2083,jordan-adams-1
SF,7.45,216,216,2013,2045,2616,208.2,2045,rodney-hood-1
PG,7.35,210,216,1803,1854,2362,175.2,1911,shabazz-napier-1
SG,8.2,222,248,1937,1962,2565,228.8,2057,pj-hairston-1
SG,6.5,222,229,1918,1956,2553,201.0,2076,cj-wilcox-1
SF,13.35,210,222,2019,2045,2731,230.1,2203,kyle-anderson-3
SF,4.45,222,248,1943,1981,2591,195.6,2115,kj-mcdaniels-1
SG,6.2,216,248,1949,1988,2540,215.0,1981,joe-harris--1
SF,4.45,216,229,1981,2013,2578,209.4,2102,cleanthony-early-1
PF,8.2,248,267,2007,2045,2629,262.8,2165,jarnell-stokes-1
PF,10.75,235,241,2013,2045,2667,256.8,2191,johnny-obryant-1
SF,3.85,235,267,2013,2045,2705,196.0,2184,deandre-daniels-1
PG,5.35,210,229,1943,1981,2616,204.9,2038,spencer-dinwiddie-1
SF,3.75,235,235,1994,2026,2718,214.0,2203,jerami-grant-1
SF,5.05,229,241,1968,2000,2553,211.4,2083,glenn-robinson-2
SG,6.05,222,248,1867,1905,2451,198.0,2013,nick-johnson-1
SG,4.2,210,248,1892,1918,2540,184.4,2051,markel-brown-1
PF,6.2,229,235,2070,2108,2667,234.4,2146,dwight-powell-1
PG,4.3,210,229,1911,1956,2489,186.3,2032,jordan-clarkson-1
PG,3.5,210,216,1816,1848,2413,160.0,1918,russ-smith-1
SG,10.75,229,235,1930,1962,2565,226.0,2108,lamar-patterson-1
PF,8.7,222,229,2051,2076,2718,252.4,2153,cameron-bairstow-1
PF,7.7,235,222,2140,2165,2769,231.2,2172,alec-brown-1
PG,5.25,216,210,1867,1911,2515,186.0,1994,semaj-christon-1
SG,5.2,222,216,1924,1962,2642,179.4,2146,jordan-mcrae-1
PG,6.4,210,229,1886,1918,2438,187.0,1930,xavier-thames-1
PF,5.25,222,248,2026,2057,2667,218.4,2146,cory-jefferson-1
PG,8.3,222,248,1911,1956,2591,193.4,2076,dangelo-russell-1
C,6.3,241,229,2115,2146,2819,242.4,2210,willie-cauley-stein-1
SF,7.5,229,229,1956,1994,2591,241.8,2121,stanley-johnson-1
C,9.4,216,241,2127,2153,2781,231.2,2108,frank-kaminsky-1
SF,5.3,216,235,1943,1994,2654,221.8,2089,justise-winslow-1
