,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,years,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,3rd_NBA_season
30,1067,26.0,0.56,0.527,0.357,0.397,5.8,13.8,19.0,2.0,2.4,12.2,30.5,4.0,1.2,6.5,-0.2,3,SG,7.0,229,241,1924,1962,2515,223.8,2115,1
31,1130,23.5,0.638,0.582,0.018,0.635,10.9,20.0,6.5,1.8,6.6,16.6,19.0,3.5,2.0,3.4,3.4,4,PF,7.1,241,279,1994,2026,2705,223.8,2203,1
32,903,19.4,0.541,0.485,0.223,0.369,7.5,17.5,11.6,1.7,2.9,15.4,23.9,2.1,1.3,3.4,1.9,1,SF,7.8,235,260,2051,2083,2667,218.7,2165,1
33,575,18.9,0.486,0.455,0.313,0.211,5.4,17.1,20.0,2.1,1.0,13.7,29.7,0.7,0.9,4.3,1.9,3,SF,7.8,229,229,2000,2038,2616,216.2,2102,1
34,1236,26.6,0.587,0.55,0.237,0.396,7.6,20.2,17.4,2.4,2.1,12.3,25.8,4.6,2.6,6.9,2.8,2,SG,4.1,229,241,1956,1981,2604,174.4,2076,1
35,999,30.7,0.62,0.571,0.052,0.45,9.7,26.2,10.7,1.4,1.8,12.6,30.9,4.2,2.6,7.7,2.6,5,PF,10.6,216,229,2013,2051,2642,240.8,2102,1
36,990,22.7,0.553,0.498,0.038,0.428,11.8,17.2,7.0,1.5,4.7,12.9,22.6,2.6,1.7,3.8,2.1,1,C,7.7,232,250,2091,2125,2791,242.7,2213,1
37,1043,18.1,0.593,0.566,0.493,0.228,4.3,7.9,14.4,1.9,1.2,14.8,19.2,2.9,1.6,4.5,3.1,4,SF,7.5,216,222,1981,2019,2565,233.4,2057,1
38,1125,28.6,0.616,0.581,0.089,0.626,12.0,27.9,10.9,1.3,9.2,17.0,24.9,3.7,2.5,3.2,1.8,4,PF,8.0,241,254,2045,2083,2705,240.8,2254,1
39,868,22.3,0.595,0.511,0.009,0.86,9.9,20.2,5.7,0.8,5.8,15.7,22.9,2.6,1.6,2.4,2.2,5,C,7.7,232,250,2091,2125,2791,242.7,2213,1
40,950,28.3,0.609,0.58,0.253,0.467,10.3,24.0,8.8,1.5,4.6,12.3,27.5,3.5,2.2,6.1,2.5,1,PF,8.2,230,245,2043,2074,2720,233.3,2174,1
41,1021,28.9,0.671,0.648,0.224,0.428,11.8,15.1,15.2,4.6,2.8,18.5,22.2,4.2,2.6,8.9,6.2,3,SG,6.55,222,235,1911,1937,2553,213.2,2064,1
42,1097,27.3,0.59,0.541,0.291,0.449,6.7,20.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,8.2,5.4,2,SF,6.65,222,235,2019,2045,2680,197.6,2172,1
43,1062,29.8,0.624,0.564,0.006,0.734,12.3,20.4,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.2,3.8,2,C,4.75,216,267,2102,2140,2692,230.0,2102,1
44,1004,24.5,0.57,0.535,0.025,0.472,13.2,21.0,7.8,0.5,8.0,13.1,22.8,3.0,2.0,3.6,3.2,2,C,6.4,229,273,2091,2125,2791,242.7,2222,1
45,765,27.3,0.583,0.59,0.0,0.627,10.4,23.9,9.5,3.9,13.2,17.3,17.4,1.6,2.3,4.3,7.8,1,C,4.15,241,254,2083,2127,2794,206.4,2229,1
46,1191,23.2,0.633,0.586,0.435,0.345,5.0,13.2,12.6,1.8,2.2,14.2,23.2,4.2,2.3,7.2,3.4,1,SG,5.0,222,241,1918,1949,2553,189.2,2026,1
47,1086,27.7,0.579,0.53,0.523,0.393,4.3,21.3,16.8,3.8,1.9,11.1,29.2,3.9,2.4,8.4,4.1,2,SG,6.45,216,229,1943,1968,2553,203.6,2032,1
48,1378,28.7,0.569,0.53,0.354,0.296,1.9,9.6,37.3,2.8,1.5,11.9,28.3,6.7,1.8,9.4,3.7,2,PG,6.9,210,222,1822,1861,2477,187.0,1968,1
