,year,PLAYER_NAME,POSITION,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
307,2017-18,Isaiah Briscoe,PG,11.00%,9.00,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
308,2017-18,Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
309,2017-18,Thomas Bryant,PF-C,9.40%,9.50,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
310,2017-18,John Collins,PF,5.40%,9.00,10.00,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
311,2017-18,Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
312,2017-18,Hamidou Diallo,SG-SF,5.20%,8.50,9.50,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
313,2017-18,Tyler Dorsey,SG,4.70%,8.50,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25''
314,2017-18,Damyean Dotson,SG-SF,5.30%,8.50,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
315,2017-18,PJ Dozier,SG,6.10%,8.50,9.50,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
316,2017-18,Jawun Evans,PG,9.10%,8.00,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5''
317,2017-18,Terrance Ferguson,SG-SF,5.80%,8.50,10.00,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
318,2017-18,De?Aaron Fox,PG,4.50%,8.50,8.50,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
319,2017-18,Markelle Fultz,PG,-%,-,-,,,,-,
320,2017-18,Harry Giles,PF,5.20%,9.50,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232.0,7' 3.25''
321,2017-18,Josh Hart,SG-SF,5.80%,8.50,9.50,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
322,2017-18,Nigel Hayes,PF,11.50%,8.75,10.00,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25''
323,2017-18,Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
324,2017-18,Wesley Iwundu,SG-SF,4.00%,8.75,9.50,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1''
325,2017-18,Frank Jackson,PG,6.70%,8.25,9.00,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
326,2017-18,Justin Jackson (UMD),SF,7.10%,9.00,9.50,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25''
327,2017-18,Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
328,2017-18,Peter Jok,SG-SF,11.00%,8.25,9.50,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8''
329,2017-18,Luke Kennard,SG-SF,6.60%,8.00,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
330,2017-18,Kyle Kuzma,SF-SG,9.40%,8.50,9.50,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
331,2017-18,TJ Leaf,PF,6.80%,8.50,9.50,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
332,2017-18,Tyler Lydon,PF,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215.0,7' 0''
333,2017-18,Frank Mason III,PG,4.30%,8.00,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
334,2017-18,Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
335,2017-18,Donovan Mitchell,SG,5.90%,8.50,9.50,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
336,2017-18,Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
337,2017-18,Johnathan Motley,PF,-%,9.00,9.50,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
338,2017-18,Svi Mykhailiuk,SG-SF,11.40%,8.00,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
339,2017-18,Semi Ojeleye,SF-SG,5.50%,8.75,9.50,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
340,2017-18,Cameron Oliver,PF,7.70%,9.50,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25''
341,2017-18,Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229.0,7' 3''
342,2017-18,Alec Peters,PF,8.80%,8.75,10.00,6' 7.25'',6' 8.75'',8' 9'',232.0,6' 10.75''
343,2017-18,Ivan Rabb,PF,6.80%,8.75,9.00,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5''
344,2017-18,Davon Reed,SG-SF,6.50%,9.25,9.50,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
345,2017-18,Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
346,2017-18,Kobi Simmons,PG,5.00%,8.50,9.50,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
347,2017-18,Edmond Sumner,PG,8.30%,8.25,9.00,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
348,2017-18,Caleb Swanigan,PF,-%,9.50,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
349,2017-18,Sindarius Thornwell,SG-SF,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10''
350,2017-18,Melo Trimble,PG,10.60%,8.00,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
351,2017-18,Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0''
352,2017-18,Derrick Walton Jr.,PG,5.80%,8.00,8.50,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
353,2017-18,Thomas Welsh,PF-C,10.90%,9.00,10.50,6' 11.5'',7' 0.5'',9' 1.5'',254.0,7' 0''
354,2017-18,Derrick White,PG,6.20%,8.25,8.50,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
355,2017-18,Nigel Williams-Goss,PG,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25''
356,2017-18,D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
357,2017-18,Omer Yurtseven,C,7.60%,9.00,10.50,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1''
358,2018-19,Rawle Alkins,SG,8.90%,8.50,10.00,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75''
359,2018-19,Grayson Allen,SG,5.55%,8.25,10.00,6' 3'',6' 4.5'',8' 1'',198.0,6' 7.25''
360,2018-19,Kostas Antetokounmpo,PF,5.00%,9.25,9.50,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
361,2018-19,Udoka Azubuike,C,7.95%,9.50,10.00,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
362,2018-19,Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
363,2018-19,Jaylen Barford,PG-SG,11.65%,8.00,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5''
364,2018-19,Keita Bates-Diop,SG-SF,5.35%,9.00,8.50,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
365,2018-19,Tyus Battle,SG,4.00%,8.50,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9''
366,2018-19,Brian Bowen,SG-SF,7.60%,9.00,10.00,6' 6.25'',6' 7.5'',8' 7.5'',202.0,6' 10.25''
367,2018-19,Miles Bridges,SF,5.90%,9.00,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
368,2018-19,Bruce Brown,SG-PG,3.75%,8.50,8.50,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
369,2018-19,Troy Brown,SF,7.05%,9.00,9.75,6' 5.75'',6' 6.75'',8' 9'',208.0,6' 10.25''
370,2018-19,Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
371,2018-19,Tony Carr,PG,6.50%,8.50,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25''
372,2018-19,Jevon Carter,PG,4.15%,9.25,8.50,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
373,2018-19,Wendell Carter,C-PF,7.85%,8.50,9.00,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5''
374,2018-19,Donte DiVincenzo,SG,5.00%,8.25,9.00,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
375,2018-19,Hamidou Diallo,SG,4.45%,8.75,9.00,6' 4.25'',6' 6'',8' 7'',197.0,6' 11.5''
376,2018-19,Trevon Duval,PG,5.20%,8.75,10.00,6' 1.5'',6' 2.5'',8' 1.5'',191.0,6' 8.25''
377,2018-19,Carsen Edwards,PG,6.30%,8.50,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
378,2018-19,Keenan Evans,PG,6.50%,8.50,8.00,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
379,2018-19,Jacob Evans,SG-SF,6.50%,9.00,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
380,2018-19,Bruno Fernando,C,5.25%,9.50,10.00,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
381,2018-19,Melvin Frazier,SF-SG,7.90%,9.50,9.50,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
382,2018-19,Shai Gilgeous-Alexander,PG,3.00%,9.00,9.00,6' 4.5'',6' 6'',8' 8'',180.0,6' 11.5''
383,2018-19,Devonte Graham,PG,4.80%,8.50,9.50,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
384,2018-19,Isaac Haas,C,12.55%,10.00,10.50,7' 1.25'',7' 2.75'',9' 3.5'',303.0,7' 5''
385,2018-19,Devon Hall,SG,8.45%,8.50,10.00,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
386,2018-19,Jaylen Hands,PG,5.00%,8.00,8.00,6' 1.5'',6' 2.75'',8' 2'',179.0,6' 5.5''
387,2018-19,Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
388,2018-19,Aaron Holiday,PG,6.40%,8.75,8.50,5' 11.75'',6' 0.75'',8' 1'',187.0,6' 7.5''
389,2018-19,Kevin Huerter,SG,8.60%,8.25,8.50,6' 6.25'',6' 7.25'',8' 5.5'',194.0,6' 7.5''
390,2018-19,Jaren Jackson,PF-C,7.20%,10.00,10.00,6' 9.75'',6' 11.25'',9' 2'',236.0,7' 5.25''
391,2018-19,Justin Jackson,PF,8.90%,9.00,9.50,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
392,2018-19,Alize Johnson,PF,8.10%,8.50,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
393,2018-19,George King,SF-SG,7.25%,9.00,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
394,2018-19,Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
395,2018-19,Sagaba Konate,C,7.35%,9.25,10.00,6' 6.5'',6' 7.5'',8' 10.5'',246.0,7' 0''
396,2018-19,Caleb Martin,SF-SG,7.00%,8.50,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
397,2018-19,Cody Martin,SG-SF,5.45%,8.50,9.00,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
398,2018-19,Yante Maten,PF-C,8.10%,9.25,10.00,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5''
399,2018-19,Brandon McCoy,C,8.70%,9.75,9.50,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
400,2018-19,DeAnthony Melton,SG-PG,5.20%,8.50,9.50,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
401,2018-19,Chimezie Metu,PF-C,5.05%,9.00,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
402,2018-19,Shake Milton,SG-PG,6.80%,8.75,9.50,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
403,2018-19,Sviatoslav Mykhailiuk,SG-SF,8.45%,8.25,9.50,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75''
404,2018-19,Malik Newman,SG,6.25%,8.50,9.50,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
405,2018-19,Josh Okogie,SG,5.20%,9.00,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
406,2018-19,Theo Pinson,SG-SF,7.35%,9.00,9.00,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
407,2018-19,Jontay Porter,C-PF,13.85%,8.75,9.50,6' 10'',6' 11.5'',9' 1'',236.0,7' 0.25''
408,2018-19,Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211.0,7' 0.25''
409,2018-19,Billy Preston,PF,5.45%,9.25,9.50,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
410,2018-19,Jerome Robinson,SG,6.05%,9.00,10.00,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
411,2018-19,Collin Sexton,PG,5.60%,8.25,8.50,6' 0.5'',6' 1.5'',8' 2.5'',183.0,6' 7.25''
412,2018-19,Landry Shamet,PG,4.85%,8.00,9.00,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
413,2018-19,Anfernee Simons,SG-PG,7.70%,8.75,9.00,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
414,2018-19,Zhaire Smith,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
415,2018-19,Ray Spalding,PF,5.55%,9.25,9.00,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75''
416,2018-19,Omari Spellman,PF-C,13.75%,9.00,9.00,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
417,2018-19,Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
418,2018-19,Gary Trent,SG,7.00%,8.50,9.50,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
419,2018-19,Allonzo Trier,SG,4.95%,8.25,10.50,6' 3.75'',6' 5.25'',8' 2'',198.0,6' 6.75''
420,2018-19,Moritz Wagner,C-PF,6.75%,9.00,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
421,2018-19,Lonnie Walker,SG,5.65%,9.00,9.50,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
422,2018-19,PJ Washington,PF,6.85%,9.00,10.25,6' 6.5'',6' 8'',8' 11'',223.0,7' 2.5''
423,2018-19,Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
424,2018-19,Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205.0,6' 10.25''
425,2018-19,Kenrich Williams,SF,5.95%,8.50,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
426,2018-19,Trae Young,PG,5.35%,8.00,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
