player_id,player_name,pos,off_score,def_score,uni_off_score,uni_def_score,ratio_off,ratio_def
jamal-murray-1,Jamal Murray,PG,3.12,1.47,3.26,1.18,0.9570552147239265,1.2457627118644068
marquese-chriss-1,Marquese Chriss,PF,2.52,1.5,2.6,1.55,0.9692307692307692,0.9677419354838709
jakob-poeltl-1,Jakob Poeltl,C,3.21,2.04,3.69,1.85,0.8699186991869918,1.1027027027027028
domantas-sabonis-1,Domantas Sabonis,C,3.51,2.42,3.36,2.09,1.0446428571428572,1.1578947368421053
taurean-prince-1,Taurean Prince,SF,2.62,1.26,2.79,1.51,0.9390681003584229,0.8344370860927153
denzel-valentine-1,Denzel Valentine,SF,2.68,1.8,3.76,1.88,0.7127659574468086,0.9574468085106383
wade-baldwin-1,Wade Baldwin IV,PG,2.04,0.82,2.87,1.49,0.7108013937282229,0.5503355704697986
henry-ellenson-1,Henry Ellenson,PF,2.57,1.43,2.65,1.86,0.969811320754717,0.7688172043010751
malik-beasley-1,Malik Beasley,SG,2.91,1.28,2.83,1.15,1.028268551236749,1.1130434782608696
caris-levert-1,Caris LeVert,SF,2.89,1.61,3.33,1.36,0.8678678678678678,1.1838235294117647
deandre-bembry-1,DeAndre Bembry,SG,2.19,2.14,2.9,1.97,0.7551724137931034,1.086294416243655
malachi-richardson-1,Malachi Richardson,SG,2.13,0.55,2.28,1.38,0.9342105263157895,0.3985507246376812
pascal-siakam-1,Pascal Siakam,PF,3.32,2.17,3.42,2.5,0.9707602339181286,0.868
skal-labissiere-1,Skal Labissiere,PF,2.47,1.6,1.98,1.83,1.2474747474747476,0.8743169398907104
dejounte-murray-1,Dejounte Murray,PG,2.66,2.42,2.19,1.53,1.2146118721461188,1.5816993464052287
damian-jones-1,Damian Jones,C,2.7,1.89,2.76,1.62,0.9782608695652175,1.1666666666666665
deyonta-davis-1,Deyonta Davis,C,2.64,1.64,2.53,2.1,1.0434782608695654,0.7809523809523808
cheick-diallo-1,Cheick Diallo,PF,2.66,2.08,1.87,2.53,1.4224598930481283,0.8221343873517788
malcolm-brogdon-1,Malcolm Brogdon,SG,3.18,1.51,3.44,1.52,0.9244186046511629,0.993421052631579
patrick-mccaw-1,Patrick McCaw,SG,1.96,1.84,2.83,2.03,0.6925795053003533,0.9064039408866996
demetrius-jackson-2,Demetrius Jackson,PG,3.2,1.25,2.96,0.87,1.0810810810810811,1.4367816091954022
jake-layman-1,Jake Layman,SF,2.72,1.37,2.64,1.79,1.0303030303030303,0.7653631284916201
georges-niang-1,Georges Niang,PF,2.72,1.26,3.23,1.31,0.8421052631578948,0.9618320610687022
abdel-nader-1,Abdel Nader,SF,2.48,1.42,2.21,1.38,1.1221719457013575,1.028985507246377
tyrone-wallace-1,Tyrone Wallace,SG,2.01,1.22,2.57,1.44,0.7821011673151751,0.8472222222222222
markelle-fultz-1,Markelle Fultz,PG,2.67,1.72,3.29,1.37,0.8115501519756838,1.2554744525547443
lonzo-ball-1,Lonzo Ball,PG,2.69,1.99,3.33,1.89,0.8078078078078078,1.052910052910053
jayson-tatum-1,Jayson Tatum,PF,3.26,2.45,2.62,1.92,1.2442748091603053,1.2760416666666667
josh-jackson-2,Josh Jackson,SF,2.74,1.85,2.84,2.21,0.9647887323943664,0.8371040723981901
deaaron-fox-1,De'Aaron Fox,PG,3.44,1.67,2.85,1.72,1.207017543859649,0.9709302325581395
jonathan-isaac-1,Jonathan Isaac,PF,2.61,3.11,2.82,2.39,0.9255319148936171,1.301255230125523
lauri-markkanen-1,Lauri Markkanen,PF,2.83,1.63,3.67,1.31,0.7711171662125341,1.2442748091603053
dennis-smithjr-1,Dennis Smith Jr.,PG,2.36,1.54,3.01,1.33,0.7840531561461794,1.1578947368421053
zach-collins-1,Zach Collins,PF,2.36,0.98,3.25,2.67,0.7261538461538461,0.36704119850187267
malik-monk-1,Malik Monk,SG,2.69,1.09,3.09,1.23,0.8705501618122977,0.8861788617886179
luke-kennard-1,Luke Kennard,SG,2.93,0.74,3.56,1.19,0.8230337078651686,0.6218487394957983
donovan-mitchell-1,Donovan Mitchell,SG,3.37,1.44,2.83,2.22,1.1908127208480566,0.6486486486486486
edrice-adebayo-1,Bam Adebayo,PF,3.34,2.89,2.98,1.86,1.1208053691275168,1.553763440860215
justin-patton-1,Justin Patton,C,2.37,0.39,2.73,2.07,0.8681318681318682,0.1884057971014493
dj-wilson-1,D.J. Wilson,PF,2.4,1.23,2.84,1.59,0.8450704225352113,0.7735849056603773
tj-leaf-1,TJ Leaf,PF,2.72,1.86,3.31,1.55,0.8217522658610272,1.2
john-collins-1,John Collins,PF,3.38,1.86,3.86,1.75,0.8756476683937824,1.062857142857143
harry-giles-1,Harry Giles,C,2.53,1.87,2.16,1.66,1.171296296296296,1.1265060240963856
jarrett-allen-1,Jarrett Allen,C,3.41,2.4,2.28,1.67,1.4956140350877194,1.437125748502994
og-anunoby-1,OG Anunoby,SF,2.65,2.54,2.62,1.86,1.0114503816793892,1.3655913978494623
caleb-swanigan-1,Caleb Swanigan,"C,PF",1.99,1.45,3.28,2.15,0.6067073170731707,0.6744186046511628
kyle-kuzma-1,Kyle Kuzma,PF,2.65,1.41,3.06,1.48,0.8660130718954248,0.9527027027027026
tony-bradley-1,Tony Bradley,C,3.36,1.95,3.15,1.44,1.0666666666666667,1.3541666666666667
derrick-white-1,Derrick White,SG,3.04,1.59,3.45,1.63,0.881159420289855,0.9754601226993866
josh-hart-1,Josh Hart,SF,2.7,1.93,3.63,2.08,0.7438016528925621,0.9278846153846153
frank-jackson-2,Frank Jackson,PG,2.8,0.81,2.71,0.79,1.033210332103321,1.0253164556962024
wesley-iwundu-1,Wesley Iwundu,SF,2.49,1.33,2.69,1.66,0.9256505576208179,0.8012048192771085
frank-mason-1,Frank Mason,PG,3.14,1.4,3.62,1.29,0.8674033149171271,1.0852713178294573
semi-ojeleye-1,Semi Ojeleye,PF,2.41,1.25,3.82,1.3,0.630890052356021,0.9615384615384615
jordan-bell-1,Jordan Bell,C,2.7,1.28,2.81,2.88,0.9608540925266904,0.4444444444444445
dwayne-bacon-1,Dwayne Bacon,SG,2.12,1.21,2.74,1.12,0.7737226277372262,1.0803571428571428
thomas-bryant-1,Thomas Bryant,C,3.24,1.68,2.68,1.7,1.208955223880597,0.9882352941176471
damyean-dotson-1,Damyean Dotson,SG,2.54,1.07,3.24,1.44,0.7839506172839505,0.7430555555555556
dillon-brooks-1,Dillon Brooks,SG,2.69,1.24,3.2,1.5,0.840625,0.8266666666666667
sterling-brown-2,Sterling Brown,SF,2.37,1.83,2.86,2.12,0.8286713286713288,0.8632075471698113
sindarius-thornwell-1,Sindarius Thornwell,SF,2.54,1.15,3.65,2.58,0.6958904109589041,0.4457364341085271
monte-morris-1,Monte Morris,PG,2.84,1.32,3.34,1.47,0.8502994011976048,0.8979591836734695
edmond-sumner-1,Edmond Sumner,SG,2.42,1.35,2.62,1.5,0.9236641221374046,0.9
kadeem-allen-1,Kadeem Allen,PG,2.69,1.26,2.15,2.04,1.2511627906976746,0.6176470588235294
deandre-ayton-1,Deandre Ayton,C,3.35,2.27,3.77,2.12,0.8885941644562334,1.070754716981132
marvin-bagleyiii-1,Marvin Bagley III,PF,3.03,1.08,3.66,1.72,0.8278688524590163,0.627906976744186
jaren-jacksonjr-1,Jaren Jackson Jr.,C,3.06,2.34,3.05,2.93,1.0032786885245903,0.7986348122866893
trae-young-1,Trae Young,PG,4.08,1.06,3.86,1.18,1.0569948186528497,0.8983050847457628
mohamed-bamba-1,Mohamed Bamba,C,3.09,2.28,2.83,3.04,1.0918727915194346,0.7499999999999999
wendell-carterjr-1,Wendell Carter Jr.,C,2.98,1.88,3.22,2.45,0.9254658385093167,0.7673469387755101
collin-sexton-1,Collin Sexton,SG,3.31,0.93,3.33,0.96,0.993993993993994,0.9687500000000001
kevin-knox-1,Kevin Knox,SF,2.45,1.25,2.49,1.31,0.9839357429718876,0.9541984732824427
