player,pick rank,year,college,url,height (cm),weight (lb),uni_url
Greg Brown III,43,2021,Texas,https://www.basketball-reference.com//players/b/browngr01.html,205.7,205,https://www.sports-reference.com/cbb/players/greg-brown-9.html
Kessler Edwards,44,2021,Pepperdine,https://www.basketball-reference.com//players/e/edwarke02.html,203.2,215,https://www.sports-reference.com/cbb/players/kessler-edwards-1.html
Juhann Begarin,45,2021,,https://www.basketball-reference.com//players/b/begarju01.html,195.6,214,
Dalano Banton,46,2021,Nebraska,https://www.basketball-reference.com//players/b/bantoda01.html,205.7,204,https://www.sports-reference.com/cbb/players/dalano-banton-1.html
David Johnson,47,2021,Louisville,https://www.basketball-reference.com//players/j/johnsda08.html,195.6,210,https://www.sports-reference.com/cbb/players/david-johnson-13.html
Sharife Cooper,48,2021,Auburn,https://www.basketball-reference.com//players/c/coopesh01.html,185.4,180,https://www.sports-reference.com/cbb/players/sharife-cooper-1.html
Marcus Zegarowski,49,2021,Creighton,https://www.basketball-reference.com//players/z/zegarma01.html,188.0,180,https://www.sports-reference.com/cbb/players/marcus-zegarowski-1.html
Filip Petrušev,50,2021,Gonzaga,https://www.basketball-reference.com//players/p/petrufi01.html,210.8,234,
Brandon Boston Jr.,51,2021,Kentucky,https://www.basketball-reference.com//players/b/bostobr01.html,200.7,185,https://www.sports-reference.com/cbb/players/brandon-bostonjr-1.html
Luka Garza,52,2021,Iowa,https://www.basketball-reference.com//players/g/garzalu01.html,210.8,235,https://www.sports-reference.com/cbb/players/luka-garza-1.html
Charles Bassey,53,2021,Western Kentucky,https://www.basketball-reference.com//players/b/bassech01.html,210.8,235,https://www.sports-reference.com/cbb/players/charles-bassey-1.html
Sandro Mamukelashvili,54,2021,Seton Hall,https://www.basketball-reference.com//players/m/mamuksa01.html,210.8,240,https://www.sports-reference.com/cbb/players/sandro-mamukelashvili-1.html
Aaron Wiggins,55,2021,Maryland,https://www.basketball-reference.com//players/w/wiggiaa01.html,198.1,200,https://www.sports-reference.com/cbb/players/aaron-wiggins-1.html
Scottie Lewis,56,2021,Florida,https://www.basketball-reference.com//players/l/lewissc01.html,195.6,189,https://www.sports-reference.com/cbb/players/scottie-lewis-1.html
Balša Koprivica,57,2021,Florida State,https://www.basketball-reference.com//players/k/kopriba01.html,215.9,240,https://www.sports-reference.com/cbb/players/balsa-koprivica-1.html
Jericho Sims,58,2021,Texas,https://www.basketball-reference.com//players/s/simsje01.html,208.3,245,https://www.sports-reference.com/cbb/players/jericho-sims-1.html
RaiQuan Gray,59,2021,Florida State,https://www.basketball-reference.com//players/g/grayra01.html,203.2,260,https://www.sports-reference.com/cbb/players/raiquan-gray-1.html
Georgios Kalaitzakis,60,2021,,https://www.basketball-reference.com//players/k/kalaige01.html,203.2,192,
