name,season,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
Kessler Edwards,2020-21,92,2909,19.7,.587,.420,.309,6.1,18.0,12.0,7.6,1.8,4.8,12.0,20.2,6.6,3.7,10.3,3.5,0.8,4.3,https://www.sports-reference.com/cbb/players/kessler-edwards-1.html
Dalano Banton,2020-21,27,736,16.0,.495,.370,.402,3.9,18.9,11.4,28.8,1.9,4.0,20.4,21.8,0.6,1.1,1.7,1.6,3.0,4.7,https://www.sports-reference.com/cbb/players/dalano-banton-1.html
David Johnson,2020-21,46,1099,15.7,.512,.292,.220,4.9,14.0,9.6,25.5,2.1,1.3,21.8,24.1,1.1,1.8,3.0,2.2,2.5,4.7,https://www.sports-reference.com/cbb/players/david-johnson-13.html
Sharife Cooper,2020-21,12,397,22.9,.519,.310,.560,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,1.4,0.3,1.7,4.7,-0.4,4.3,https://www.sports-reference.com/cbb/players/sharife-cooper-1.html
Marcus Zegarowski,2020-21,92,2962,19.3,.604,.524,.222,1.2,10.7,6.2,24.3,2.0,0.2,15.7,22.0,8.2,3.5,11.7,4.6,1.5,6.0,https://www.sports-reference.com/cbb/players/marcus-zegarowski-1.html
Brandon Boston Jr.,2020-21,25,759,13.2,.447,.345,.224,4.8,11.2,8.0,11.1,2.5,0.5,10.1,23.0,0.7,1.0,1.6,1.0,2.1,3.1,https://www.sports-reference.com/cbb/players/brandon-bostonjr-1.html
Luka Garza,2020-21,127,3440,30.5,.608,.205,.399,11.2,18.3,14.9,10.0,1.1,4.7,8.7,29.5,15.4,4.1,19.5,8.8,0.8,9.6,https://www.sports-reference.com/cbb/players/luka-garza-1.html
Charles Bassey,2020-21,72,2199,28.8,.648,.124,.416,12.0,27.1,19.9,6.0,1.2,9.4,17.1,24.5,7.0,4.9,11.9,4.4,2.2,6.6,https://www.sports-reference.com/cbb/players/charles-bassey-1.html
Sandro Mamukelashvili,2020-21,115,2802,18.2,.542,.340,.336,7.9,18.4,13.2,13.6,1.4,3.3,15.1,21.4,5.2,4.0,9.2,3.3,1.9,5.2,https://www.sports-reference.com/cbb/players/sandro-mamukelashvili-1.html
Aaron Wiggins,2020-21,96,2707,16.3,.525,.517,.183,4.6,13.9,9.5,11.9,1.9,1.5,12.1,22.3,4.5,4.2,8.7,3.6,2.5,6.1,https://www.sports-reference.com/cbb/players/aaron-wiggins-1.html
Scottie Lewis,2020-21,51,1410,15.3,.551,.332,.434,4.2,10.3,7.3,7.0,2.9,4.6,16.1,16.6,2.0,2.2,4.3,2.1,4.1,6.3,https://www.sports-reference.com/cbb/players/scottie-lewis-1.html
Balša Koprivica,2020-21,51,746,24.8,.648,.005,.450,13.5,17.5,15.6,7.0,1.2,6.2,15.5,20.9,2.6,1.3,3.9,3.4,2.5,5.9,https://www.sports-reference.com/cbb/players/balsa-koprivica-1.html
Jericho Sims,2020-21,119,2441,18.2,.621,.002,.525,10.0,20.3,15.2,4.2,1.2,4.0,17.9,16.4,4.5,4.5,9.0,1.7,3.0,4.6,https://www.sports-reference.com/cbb/players/jericho-sims-1.html
RaiQuan Gray,2020-21,90,1664,17.1,.535,.217,.432,6.5,17.8,12.4,13.6,3.1,3.1,19.6,21.1,2.4,3.5,5.8,1.2,4.2,5.4,https://www.sports-reference.com/cbb/players/raiquan-gray-1.html
Jalen Green,2020-21,15,480,15.3,.613,.417,.172,1.9,11.6,6.9,13.5,2.3,0.8,15.4,23.4,0.0,0.5,0.4,1.2,4.2,5.4,
Jonathan Kuminga,2020-21,13,426,11.5,.497,.349,.258,4.0,19.2,11.9,12.2,1.5,2.4,14.1,24.5,-0.7,0.5,-0.3,1.2,4.2,5.4,
Isaiah Todd,2020-21,15,366,12.2,.530,.281,.102,3.7,17.5,10.8,5.1,0.9,2.8,11.6,23.3,-0.3,0.3,0.0,1.2,4.2,5.4,
