player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,year,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,"('Alex Len', 'weight')","('Markelle Fultz', 'weight')"
Fab Melo,2011-12,Syracuse,Big East,30,30,763,20.7,0.581,0.566,0.0,0.347,237.0,12.3,14.6,13.5,5.0,1.2,13.0,17.6,16.5,1.5,1.5,3.0,0.156,1.0,4.3,5.3,2,2012-13,C,9.20,229,254,2102,2134,2794,255.0,2197,0,0
John Jenkins,2011-12,Vanderbilt,SEC,35,35,1177,26.0,0.656,0.62,0.666,0.334,579.0,1.7,9.1,5.4,8.4,1.5,1.0,9.4,26.2,5.4,1.1,6.5,0.223,10.3,1.5,11.8,3,2012-13,SG,7.10,229,229,1911,1937,2489,212.0,2045,0,0
Jared Cunningham,2011-12,Oregon State,Pac-12,36,35,1245,22.1,0.568,0.507,0.336,0.614,609.0,3.4,10.4,6.8,15.7,4.1,1.2,15.2,26.0,3.4,1.6,5.0,0.162,3.4,1.6,5.0,3,2012-13,SG,3.60,210,229,1918,1956,2489,187.6,1994,0,0
Tony Wroten,2011-12,Washington,Pac-12,35,27,1062,20.4,0.488,0.453,0.125,0.591,579.0,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,1.6,1.6,3.2,0.12,2.5,2.2,4.7,1,2012-13,PG,5.20,203,229,1949,1981,2565,203.2,2057,0,0
Miles Plumlee,2011-12,Duke,ACC,34,16,697,21.8,0.621,0.61,0.0,0.521,247.0,16.6,24.6,20.6,5.1,1.5,4.2,18.7,16.1,1.9,1.2,3.1,0.177,4.1,2.1,6.2,4,2012-13,PF,11.40,235,229,2096,2127,2680,252.4,2153,0,0
Arnett Moultrie,2011-12,Mississippi State,SEC,30,30,1073,25.2,0.61,0.561,0.055,0.485,479.0,12.2,23.5,17.7,7.0,1.4,2.1,15.3,23.3,3.6,1.4,5.0,0.186,4.8,0.4,5.2,1,2012-13,PF,7.70,235,235,2070,2102,2705,232.8,2191,0,0
Perry Jones,2011-12,Baylor,Big 12,33,33,1013,21.2,0.539,0.514,0.091,0.28,421.0,11.0,19.8,15.4,8.7,1.6,2.1,12.0,23.3,2.7,1.6,4.2,0.167,3.7,1.5,5.2,2,2012-13,PF,4.60,235,241,2089,2115,2718,233.8,2178,0,0
Marquis Teague,2011-12,Kentucky,SEC,40,40,1303,13.2,0.491,0.449,0.227,0.338,457.0,1.6,7.1,4.5,25.6,1.7,0.8,21.1,20.2,1.7,1.8,3.5,0.108,0.8,1.4,2.3,1,2012-13,PG,6.30,210,197,1854,1880,2451,179.8,2013,0,0
Festus Ezeli,2011-12,Vanderbilt,SEC,26,22,603,21.0,0.567,0.539,0.0,0.842,254.0,13.0,19.2,16.1,2.9,1.1,9.0,20.1,25.2,1.1,1.0,2.1,0.14,0.4,3.3,3.7,4,2012-13,C,5.50,229,273,2076,2121,2743,264.2,2280,0,0
Jeff Taylor,2011-12,Vanderbilt,SEC,36,36,1157,23.7,0.58,0.57,0.366,0.369,546.0,8.4,13.3,10.9,12.6,2.4,1.4,13.6,26.4,3.6,1.6,5.2,0.18,6.2,1.8,8.0,4,2012-13,SF,4.20,210,248,1981,2013,2578,212.8,1988,0,0
Bernard James,2011-12,Florida State,ACC,35,35,979,23.3,0.602,0.606,0.0,0.448,359.0,13.6,21.4,17.6,3.6,1.6,9.5,18.9,20.0,2.0,2.3,4.3,0.176,3.6,4.0,7.6,2,2012-13,PF,5.00,229,235,2051,2083,2756,229.8,2210,0,0
Jae Crowder,2011-12,Marquette,Big East,35,35,1153,28.8,0.598,0.568,0.406,0.372,551.0,7.0,22.6,14.7,13.5,4.3,3.1,7.9,23.4,4.5,3.1,7.6,0.263,8.4,5.4,13.8,2,2012-13,SF,9.00,241,267,1949,1994,2527,241.2,2064,0,0
Draymond Green,2011-12,Michigan State,Big Ten,37,36,1229,26.1,0.542,0.504,0.284,0.367,610.0,8.2,30.7,19.8,24.2,2.7,3.3,16.8,28.2,3.5,3.6,7.1,0.23,6.5,5.6,12.1,4,2012-13,PF,11.30,229,241,1975,2019,2667,235.6,2165,0,0
